message_id,ground_truth_action,predicted_action,action_correct,ground_truth_message_type,predicted_message_type,message_type_correct,dsi,policy_name,reason,evidence_message_ids,llm_used,llm_message_type,llm_semantic_urgency,state_content_risk,state_sender_credibility,state_message_intent,state_user_receptivity,state_contextual_urgency
sample_msg_001,notify,notify,True,urgent,unknown,False,0.9434,CP-8,[CP-8] High urgency and user is receptive,message_0029;message_0129;message_0215;message_0216;message_0044;message_0179;message_0130;message_0098;message_0150;message_0097;message_0068;message_0067;message_0043;message_0190;message_0142;message_0001;message_0149;message_0141;message_0189;message_0030;message_0410;message_0269;message_0180,True,other,0.6,clean,known_trusted,ambiguous,receptive,high
sample_msg_002,notify,notify,True,event,event,True,0.9538,CP-8,[CP-8] High urgency and user is receptive,message_0209;message_0133;message_0051;message_0210;message_0002;message_0037;message_0364;message_0255;message_0403;message_0134,True,reminder,0.7,clean,known_trusted,urgent,receptive,high
sample_msg_003,notify,notify,True,urgent,personal,False,0.9434,CP-8,[CP-8] High urgency and user is receptive,message_0003;message_0060;message_0170;message_0041;message_0059;message_0371;message_0230;message_0266;message_0169,True,personal,0.7,clean,known_trusted,social,receptive,high
sample_msg_004,notify,notify,True,business_update,payment,False,0.6077,CP-9,[CP-9] Trusted sender with meaningful urgency,message_0105;message_0106;message_0239;message_0004,True,transactional,0.6,clean,verified_trusted,operational,opted_out,high
sample_msg_005,notify,notify,True,event,payment,False,0.6077,CP-9,[CP-9] Trusted sender with meaningful urgency,message_0064;message_0245;message_0063;message_0005,True,transactional,0.7,clean,verified_trusted,operational,opted_out,high
sample_msg_006,notify,digest,False,personal,personal,True,0.6000,DEFAULT,[DEFAULT] Safe fallback,message_0006;message_0250;message_0363,True,personal,0.6,clean,unknown,social,receptive,high
sample_msg_007,digest,notify,False,promotion,personal,False,0.6000,CP-8,[CP-8] High urgency and user is receptive,message_0272;message_0033;message_0007;message_0110;message_0109,True,personal,0.6,scam,verified_trusted,social,receptive,high
sample_msg_008,digest,digest,True,event,promotion,False,0.6000,DEFAULT,[DEFAULT] Safe fallback,message_0008,True,promotion,0.7,clean,known_negative,promotional,receptive,high
sample_msg_009,digest,digest,True,greeting,personal,False,0.6000,DEFAULT,[DEFAULT] Safe fallback,message_0009,True,group_chat,0.2,clean,known_negative,social,receptive,low
sample_msg_010,digest,digest,True,personal,personal,True,0.6000,DEFAULT,[DEFAULT] Safe fallback,message_0316;message_0010;message_0038,True,group_chat,0.3,clean,known_negative,social,receptive,medium
sample_msg_011,digest,mute,False,business_update,promotion,False,0.6000,CP-3,[CP-3] Opted out of promotional content,message_0011;message_0076;message_0075;message_0242,True,promotion,0.3,clean,verified_trusted,promotional,opted_out,medium
sample_msg_012,digest,digest,True,promotion,promotion,True,0.6000,DEFAULT,[DEFAULT] Safe fallback,message_0012,True,promotion,0.6,clean,known_negative,promotional,receptive,high
sample_msg_013,mute,mute,True,greeting,personal,False,0.9538,CP-2,[CP-2] User actively avoiding source,message_0123;message_0241;message_0078;message_0039;message_0013;message_0171;message_0124;message_0014;message_0172;message_0077;message_0040,True,personal,0.3,spam,known_negative,social,actively_avoiding,medium
sample_msg_014,mute,mute,True,forward,spam,False,0.7966,CP-4,[CP-4] Chain forward detected,message_0256;message_0016,False,unknown,0.0,spam,known_negative,forward_chain,receptive,none
sample_msg_015,mute,mute,True,promotion,spam,False,0.9639,CP-4,[CP-4] Chain forward detected,message_0258;message_0083;message_0018;message_0017;message_0084,False,unknown,0.0,spam,known_negative,forward_chain,opted_out,none
sample_msg_019,mute,mute,True,scam,business_update,False,0.6000,CP-1,[CP-1] Fraudulent content from unknown/negative sender,message_0199;message_0200;message_0085;message_0086,True,security,0.8,phishing,known_negative,ambiguous,receptive,high
sample_msg_020,mute,mute,True,scam,payment,False,0.6000,CP-1,[CP-1] Fraudulent content from unknown/negative sender,message_0202;message_0184;message_0201;message_0087;message_0088;message_0024;message_0183,True,transactional,0.8,phishing,known_negative,operational,receptive,high
sample_msg_041,digest,digest,True,personal,personal,True,0.6000,DEFAULT,[DEFAULT] Safe fallback,message_0046,True,personal,0.6,clean,known_negative,social,receptive,high
sample_msg_042,notify,digest,False,urgent,personal,False,0.6000,DEFAULT,[DEFAULT] Safe fallback,message_0035,True,personal,0.6,clean,known_negative,social,receptive,high
sample_msg_043,mute,digest,False,spam,personal,False,0.6000,DEFAULT,[DEFAULT] Safe fallback,message_0048;message_0357,True,personal,0.6,suspicious,known_negative,social,opted_out,high
sample_msg_044,digest,notify,False,promotion,payment,False,0.9434,CP-8,[CP-8] High urgency and user is receptive,message_0231;message_0049;message_0390;message_0401;message_0065;message_0113;message_0382;message_0066;message_0332;message_0114,True,transactional,0.6,clean,known_trusted,operational,receptive,high
sample_msg_045,mute,mute,True,promotion,payment,False,0.6000,CP-2,[CP-2] User actively avoiding source,message_0232;message_0050;message_0335;message_0224;message_0383;message_0116;message_0115,True,transactional,0.6,clean,known_negative,operational,actively_avoiding,high
sample_msg_046,notify,notify,True,event,unknown,False,0.9434,CP-8,[CP-8] High urgency and user is receptive,message_0209;message_0133;message_0051;message_0210;message_0002;message_0037;message_0364;message_0255;message_0403;message_0134,True,other,0.6,clean,known_trusted,ambiguous,receptive,high
