message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,transactional,[CP-9] Trusted sender with meaningful urgency,0.61,message_0102;message_0243;message_0101
msg_091,digest,transactional,[DEFAULT] Safe fallback,0.60,message_0238;message_0381
msg_090,digest,transactional,[DEFAULT] Safe fallback,0.90,none
msg_048,digest,transactional,[DEFAULT] Safe fallback,0.60,message_0237;message_0151;message_0152
msg_040,mute,promotion,[CP-2] User actively avoiding source,0.71,message_0136;message_0135
msg_075,notify,transactional,[CP-9] Trusted sender with meaningful urgency,0.61,message_0206;message_0205
msg_005,notify,personal,[CP-8] High urgency and user is receptive,0.94,message_0231;message_0049;message_0390;message_0401;message_0065;message_0113;message_0382;message_0066;message_0332;message_0114
msg_104,mute,personal,[CP-2] User actively avoiding source,0.60,message_0232;message_0050;message_0335;message_0224;message_0383;message_0116;message_0115
msg_069,mute,group_chat,[CP-2] User actively avoiding source,0.95,message_0080;message_0177;message_0194;message_0042;message_0178;message_0193;message_0247;message_0079
msg_107,mute,transactional,[CP-1] Fraudulent content from unknown/negative sender,0.60,message_0213;message_0196;message_0174;message_0369;message_0235;message_0056;message_0053;message_0195;message_0023;message_0214;message_0045;message_0173
msg_070,mute,transactional,[CP-1] Fraudulent content from unknown/negative sender,0.60,message_0213;message_0196;message_0174;message_0369;message_0235;message_0056;message_0053;message_0195;message_0023;message_0214;message_0045;message_0173
msg_003,notify,transactional,[CP-9] Trusted sender with meaningful urgency,0.61,message_0400;message_0031;message_0267;message_0062;message_0061
msg_099,notify,personal,[CP-8] High urgency and user is receptive,0.94,message_0118;message_0055;message_0227;message_0228;message_0362;message_0117;message_0249
msg_008,notify,promotion,[CP-9] Trusted sender with meaningful urgency,0.60,message_0296;message_0071;message_0072
msg_092,notify,transactional,[CP-8] High urgency and user is receptive,0.93,none
msg_060,notify,reminder,[CP-8] High urgency and user is receptive,0.95,message_0175;message_0404;message_0284;message_0176;message_0375
msg_004,notify,transactional,[CP-9] Trusted sender with meaningful urgency,0.61,message_0064;message_0245;message_0063;message_0005
msg_030,mute,promotion,[CP-2] User actively avoiding source,0.71,message_0232;message_0050;message_0335;message_0224;message_0383;message_0116;message_0115
